"HOUSEHOLD DATA
ANNUAL AVERAGES
11. Employed persons by detailed occupation, sex, race, and Hispanic or Latino ethnicity",,,,,,
[Numbers in thousands],,,,,,
,,,,,,
Occupation,2022,,,,,
,"Total
employed",Percent of total employed,,,,
,,Women,White,"Black or
African
American",Asian,"Hispanic
or Latino"
,,,,,,
Plasterers and stucco masons,23,–,–,–,–,–
Reinforcing iron and rebar workers,9,–,–,–,–,–
Roofers,208,5.0,87.7,6.9,0.0,66.5
Sheet metal workers,131,5.1,85.1,7.0,1.1,21.8
Structural iron and steel workers,66,1.1,73.3,16.5,0.0,16.1
Solar photovoltaic installers,28,–,–,–,–,–
"Helpers, construction trades",54,5.4,88.5,3.2,1.0,48.4
Construction and building inspectors,113,11.8,85.0,9.7,4.8,12.9
Elevator and escalator installers and repairers,43,–,–,–,–,–
Fence erectors,48,–,–,–,–,–
Hazardous materials removal workers,25,–,–,–,–,–
Highway maintenance workers,108,3.9,83.4,12.9,0.0,18.1
Rail-track laying and maintenance equipment operators,17,–,–,–,–,–
Septic tank servicers and sewer pipe cleaners,6,–,–,–,–,–
Miscellaneous construction and related workers,32,–,–,–,–,–
"Derrick, rotary drill, and service unit operators, oil and gas",26,–,–,–,–,–
"Excavating and loading machine and dragline operators, surface mining",3,–,–,–,–,–
"Earth drillers, except oil and gas",27,–,–,–,–,–
"Explosives workers, ordnance handling experts, and blasters",7,–,–,–,–,–
Underground mining machine operators,33,–,–,–,–,–
"Roustabouts, oil and gas",10,–,–,–,–,–
Other extraction workers,50,2.5,86.1,5.0,0.0,28.6
"Installation, maintenance, and repair occupations","4,853",4.2,85.7,8.5,2.4,21.6
"First-line supervisors of mechanics, installers, and repairers",245,5.3,87.6,5.4,2.0,12.0
"Computer, automated teller, and office machine repairers",177,10.4,73.2,16.3,6.3,15.1
Radio and telecommunications equipment installers and repairers,112,13.8,82.4,10.7,3.0,26.0
Avionics technicians,8,–,–,–,–,–
"Electric motor, power tool, and related repairers",20,–,–,–,–,–
"Electrical and electronics installers and repairers, transportation equipment",0,–,–,–,–,–
"Electrical and electronics repairers, industrial and utility",15,–,–,–,–,–
"Electronic equipment installers and repairers, motor vehicles",10,–,–,–,–,–
Audiovisual equipment installers and repairers,26,–,–,–,–,–
Security and fire alarm systems installers,67,5.7,87.3,8.6,3.1,30.4
Aircraft mechanics and service technicians,149,4.6,85.5,7.1,6.4,19.3
Automotive body and related repairers,151,3.7,90.6,3.6,3.5,28.9
Automotive glass installers and repairers,27,–,–,–,–,–
Automotive service technicians and mechanics,926,2.9,84.6,8.6,2.7,28.2
Bus and truck mechanics and diesel engine specialists,347,1.2,85.3,7.6,1.8,21.5
Heavy vehicle and mobile equipment service technicians and mechanics,224,1.2,92.5,4.2,0.2,17.7
Small engine mechanics,51,2.2,88.8,7.9,2.0,6.6
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",81,4.5,89.9,5.4,1.7,21.0
Control and valve installers and repairers,18,–,–,–,–,–
"Heating, air conditioning, and refrigeration mechanics and installers",472,2.3,86.0,10.2,1.6,22.4
Home appliance repairers,46,–,–,–,–,–
Industrial and refractory machinery mechanics,401,3.1,86.6,8.9,2.4,17.3
"Maintenance and repair workers, general",646,5.4,82.1,11.7,2.8,23.0
"Maintenance workers, machinery",19,–,–,–,–,–
Millwrights,40,–,–,–,–,–
Electrical power-line installers and repairers,119,1.5,89.9,5.2,0.9,12.1
Telecommunications line installers and repairers,134,4.9,86.8,8.4,0.9,22.5
Precision instrument and equipment repairers,53,10.9,85.6,9.4,4.0,16.6
Wind turbine service technicians,9,–,–,–,–,–
"Coin, vending, and amusement machine servicers and repairers",37,–,–,–,–,–
Commercial divers,3,–,–,–,–,–
Locksmiths and safe repairers,19,–,–,–,–,–
Manufactured building and mobile home installers,4,–,–,–,–,–
Riggers,10,–,–,–,–,–
"Helpers--installation, maintenance, and repair workers",15,–,–,–,–,–
"Other installation, maintenance, and repair workers",173,7.7,89.6,3.5,1.5,21.8
,,,,,,
"Production, transportation, and material moving occupations","20,082",25.1,72.7,18.2,5.0,24.3
Production occupations,"8,256",29.8,75.3,15.0,5.9,24.3
First-line supervisors of production and operating workers,799,22.7,76.6,14.9,5.3,18.3
"Aircraft structure, surfaces, rigging, and systems assemblers",6,–,–,–,–,–
"Electrical, electronics, and electromechanical assemblers",102,49.3,67.5,13.5,18.7,25.1
Engine and other machine assemblers,8,–,–,–,–,–
Structural metal fabricators and fitters,20,–,–,–,–,–
Other assemblers and fabricators,"1,047",37.5,66.0,21.5,7.7,23.9
Bakers,230,63.6,77.5,10.0,8.5,31.7
"Butchers and other meat, poultry, and fish processing workers",252,25.4,70.7,18.3,7.5,33.2
"Food and tobacco roasting, baking, and drying machine operators and tenders",9,–,–,–,–,–
Food batchmakers,94,58.1,77.6,12.7,5.1,24.7
Food cooking machine operators and tenders,13,–,–,–,–,–
"Food processing workers, all other",142,36.4,66.6,17.4,6.2,38.6
Computer numerically controlled tool operators and programmers,78,10.3,80.0,9.9,6.9,22.4
"Forming machine setters, operators, and tenders, metal and plastic",30,–,–,–,–,–
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",60,13.7,82.1,13.4,0.0,17.8
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",25,–,–,–,–,–
"Other machine tool setters, operators, and tenders, metal and plastic",13,–,–,–,–,–
Machinists,313,6.8,88.2,5.7,3.5,13.0
"Metal furnace operators, tenders, pourers, and casters",18,–,–,–,–,–
"Model makers and patternmakers, metal and plastic",0,–,–,–,–,–
"Molders and molding machine setters, operators, and tenders, metal and plastic",20,–,–,–,–,–
Tool and die makers,40,–,–,–,–,–
"Welding, soldering, and brazing workers",550,5.1,82.7,10.2,2.9,25.5
Other metal workers and plastic workers,387,20.3,71.0,16.1,8.6,22.2
Prepress technicians and workers,21,–,–,–,–,–
Printing press operators,151,29.0,76.3,13.2,5.5,21.6
Print binding and finishing workers,7,–,–,–,–,–
Laundry and dry-cleaning workers,115,70.5,68.9,20.4,10.0,37.2
"Pressers, textile, garment, and related materials",21,–,–,–,–,–
Sewing machine operators,131,69.9,73.6,14.0,7.7,32.4
Shoe and leather workers,11,–,–,–,–,–
"Tailors, dressmakers, and sewers",58,78.2,72.8,6.6,18.0,19.4
"Textile machine setters, operators, and tenders",19,–,–,–,–,–
Upholsterers,18,–,–,–,–,–
"Other textile, apparel, and furnishings workers",19,–,–,–,–,–
Cabinetmakers and bench carpenters,71,10.3,97.3,2.2,0.0,30.6
Furniture finishers,14,–,–,–,–,–
"Sawing machine setters, operators, and tenders, wood",27,–,–,–,–,–
"Woodworking machine setters, operators, and tenders, except sawing",15,–,–,–,–,–
Other woodworkers,25,–,–,–,–,–
"Power plant operators, distributors, and dispatchers",23,–,–,–,–,–
Stationary engineers and boiler operators,85,3.3,77.9,12.4,6.5,13.8
Water and wastewater treatment plant and system operators,93,6.7,88.1,8.8,0.6,11.0
Miscellaneous plant and system operators,38,–,–,–,–,–
"Chemical processing machine setters, operators, and tenders",73,9.7,79.6,12.6,3.0,18.0
"Crushing, grinding, polishing, mixing, and blending workers",76,10.5,81.3,9.2,3.2,28.7
Cutting workers,57,28.0,67.8,24.3,3.7,22.5
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",12,–,–,–,–,–
"Furnace, kiln, oven, drier, and kettle operators and tenders",10,–,–,–,–,–
"Inspectors, testers, sorters, samplers, and weighers",781,38.6,74.4,13.7,8.0,18.8
Jewelers and precious stone and metal workers,65,47.2,76.4,3.8,12.6,23.8
Dental and ophthalmic laboratory technicians and medical appliance technicians,95,43.3,77.9,12.0,9.2,23.3
Packaging and filling machine operators and tenders,304,52.5,66.8,23.8,4.7,41.6
Painting workers,173,14.5,84.0,10.2,0.9,40.0
Photographic process workers and processing machine operators,14,–,–,–,–,–
Adhesive bonding machine operators and tenders,4,–,–,–,–,–
Etchers and engravers,2,–,–,–,–,–
"Molders, shapers, and casters, except metal and plastic",24,–,–,–,–,–
"Paper goods machine setters, operators, and tenders",20,–,–,–,–,–
Tire builders,9,–,–,–,–,–
Helpers--production workers,65,31.0,70.2,16.5,4.8,25.9
Other production equipment operators and tenders,6,–,–,–,–,–
Other production workers,"1,246",29.0,74.5,18.5,4.1,25.3
Transportation and material moving occupations,"11,826",21.8,70.9,20.3,4.4,24.3
Supervisors of transportation and material moving workers,312,24.2,72.8,14.8,5.8,19.9
Aircraft pilots and flight engineers,187,9.2,95.7,2.6,1.6,9.7
Air traffic controllers and airfield operations specialists,35,–,–,–,–,–
Flight attendants,116,69.9,78.4,11.1,6.5,12.5
"Ambulance drivers and attendants, except emergency medical technicians",15,–,–,–,–,–
"Bus drivers, school",250,52.0,74.7,19.9,3.3,14.4
"Bus drivers, transit and intercity",245,39.7,57.5,36.6,2.9,12.2
Driver/sales workers and truck drivers,"3,539",8.1,74.1,18.3,4.0,23.3
Shuttle drivers and chauffeurs,59,16.2,60.6,26.1,2.6,26.0
Taxi drivers,455,13.0,50.0,26.3,20.0,23.0
"Motor vehicle operators, all other",193,28.5,62.1,28.2,4.9,18.8
Locomotive engineers and operators,52,3.8,71.0,17.2,3.5,3.2
Railroad conductors and yardmasters,38,–,–,–,–,–
Other rail transportation workers,18,–,–,–,–,–
Sailors and marine oilers,25,–,–,–,–,–
Ship and boat captains and operators,41,–,–,–,–,–
Ship engineers,6,–,–,–,–,–
Parking attendants,68,14.6,63.2,26.2,9.3,30.1
Transportation service attendants,91,17.5,69.2,12.9,6.7,15.5
Transportation inspectors,44,–,–,–,–,–
Passenger attendants,21,–,–,–,–,–
Other transportation workers,47,–,–,–,–,–
Crane and tower operators,60,0.7,91.4,7.0,0.5,13.5
"Conveyor, dredge, and hoist and winch operators",29,–,–,–,–,–
Industrial truck and tractor operators,636,10.5,68.7,24.9,1.4,31.9
Cleaners of vehicles and equipment,350,18.9,73.5,19.5,2.4,36.4
"Laborers and freight, stock, and material movers, hand","2,244",22.4,70.5,21.5,3.0,27.0
Machine feeders and offbearers,24,–,–,–,–,–
"Packers and packagers, hand",719,52.9,68.8,21.8,4.8,37.9
Stockers and order fillers,"1,722",37.5,70.0,20.3,4.8,22.6
Pumping station operators,19,–,–,–,–,–
Refuse and recyclable material collectors,112,10.6,69.6,25.8,1.6,26.7
Other material moving workers,55,17.4,67.1,23.8,2.4,23.8
,,,,,,
"NOTE: Estimates for the above race groups (White, Black or African American, and Asian) do not sum to totals because data are not presented for all races. Persons whose ethnicity is identified as Hispanic or Latino may be of any race. Updated population controls are introduced annually with the release of January data. Dash indicates no data or data that do not meet publication criteria (values not shown where base is less than 50,000).",,,,,,
