"HOUSEHOLD DATA
ANNUAL AVERAGES
11. Employed persons by detailed occupation, sex, race, and Hispanic or Latino ethnicity",,,,,,
[Numbers in thousands],,,,,,
,,,,,,
Occupation,2022,,,,,
,"Total
employed",Percent of total employed,,,,
,,Women,White,"Black or
African
American",Asian,"Hispanic
or Latino"
,,,,,,
Statisticians,51,48.2,56.9,6.4,35.3,2.7
Other mathematical science occupations,314,43.0,74.1,5.7,17.5,7.0
Architecture and engineering occupations,"3,464",16.1,77.3,6.6,13.9,10.3
"Architects, except landscape and naval",182,29.8,87.7,4.6,7.0,8.3
Landscape architects,32,–,–,–,–,–
"Surveyors, cartographers, and photogrammetrists",43,–,–,–,–,–
Aerospace engineers,173,17.4,80.9,3.8,12.4,9.6
Agricultural engineers,4,–,–,–,–,–
Bioengineers and biomedical engineers,24,–,–,–,–,–
Chemical engineers,75,27.9,70.2,7.8,13.5,7.3
Civil engineers,482,17.1,76.1,6.5,15.8,12.2
Computer hardware engineers,90,15.7,53.9,9.3,34.1,7.0
Electrical and electronics engineers,296,8.1,71.4,6.0,21.5,5.8
Environmental engineers,47,–,–,–,–,–
"Industrial engineers, including health and safety",221,25.0,73.5,7.1,16.8,6.1
Marine engineers and naval architects,8,–,–,–,–,–
Materials engineers,48,–,–,–,–,–
Mechanical engineers,403,8.5,79.4,3.6,14.9,11.9
"Mining and geological engineers, including mining safety engineers",3,–,–,–,–,–
Nuclear engineers,11,–,–,–,–,–
Petroleum engineers,18,–,–,–,–,–
"Engineers, all other",631,14.9,74.7,7.1,15.2,8.9
Architectural and civil drafters,46,–,–,–,–,–
Other drafters,80,15.3,88.2,5.1,6.7,12.6
Electrical and electronic engineering technologists and technicians,90,9.3,74.6,12.6,8.1,17.3
"Other engineering technologists and technicians, except drafters",374,15.0,76.6,11.0,10.1,13.7
Surveying and mapping technicians,83,11.3,89.2,8.5,0.0,11.5
"Life, physical, and social science occupations","1,840",48.2,73.3,6.1,17.1,8.2
Agricultural and food scientists,19,–,–,–,–,–
Biological scientists,110,57.9,80.4,5.7,11.8,3.5
Conservation scientists and foresters,29,–,–,–,–,–
Medical scientists,147,46.5,47.6,9.3,41.1,4.2
"Life scientists, all other",13,–,–,–,–,–
Astronomers and physicists,26,–,–,–,–,–
Atmospheric and space scientists,12,–,–,–,–,–
Chemists and materials scientists,78,46.3,67.5,8.3,21.8,9.1
"Environmental scientists and specialists, including health",33,–,–,–,–,–
"Geoscientists and hydrologists, except geographers",43,–,–,–,–,–
"Physical scientists, all other",442,43.0,62.6,5.0,29.4,6.4
Economists,29,–,–,–,–,–
Survey researchers,2,–,–,–,–,–
Clinical and counseling psychologists,13,–,–,–,–,–
School psychologists,48,–,–,–,–,–
Other psychologists,154,75.0,87.3,5.8,3.2,8.1
Sociologists,3,–,–,–,–,–
Urban and regional planners,35,–,–,–,–,–
Miscellaneous social scientists and related workers,57,51.9,86.4,1.9,8.2,4.9
Agricultural and food science technicians,42,–,–,–,–,–
Biological technicians,24,–,–,–,–,–
Chemical technicians,51,35.1,82.7,3.8,9.7,20.1
Environmental science and geoscience technicians,15,–,–,–,–,–
Nuclear technicians,7,–,–,–,–,–
Social science research assistants,5,–,–,–,–,–
"Other life, physical, and social science technicians",320,51.9,75.1,7.8,11.4,9.8
Occupational health and safety specialists and technicians,79,29.2,78.2,7.6,9.4,18.2
Community and social service occupations,"2,945",67.2,73.6,19.3,3.6,14.1
Substance abuse and behavioral disorder counselors,137,70.4,74.6,16.3,3.4,15.9
"Educational, guidance, and career counselors and advisors",408,75.3,75.4,17.6,3.0,11.4
Marriage and family therapists,38,–,–,–,–,–
Mental health counselors,195,74.9,82.4,14.9,1.1,10.6
Rehabilitation counselors,21,–,–,–,–,–
"Counselors, all other",248,69.9,76.1,19.1,1.6,13.3
"Child, family, and school social workers",72,86.0,61.3,30.5,6.2,11.1
Healthcare social workers,89,73.6,69.3,23.5,5.8,13.9
Mental health and substance abuse social workers,24,–,–,–,–,–
"Social workers, all other",731,81.5,65.4,27.3,4.2,17.3
Probation officers and correctional treatment specialists,70,53.4,77.5,21.5,0.6,26.0
Social and human service assistants,228,79.2,67.8,25.0,1.8,16.9
Other community and social service specialists,112,69.2,70.9,20.4,2.7,21.7
Clergy,434,18.9,79.7,9.9,6.1,10.2
"Directors, religious activities and education",68,62.8,91.0,7.8,1.1,9.5
"Religious workers, all other",68,67.8,90.4,1.8,4.5,11.8
Legal occupations,"1,861",52.6,84.1,8.5,4.9,10.9
Lawyers,"1,141",38.5,87.8,6.3,3.8,6.5
Judicial law clerks,21,–,–,–,–,–
"Judges, magistrates, and other judicial workers",68,56.2,81.3,12.4,6.1,3.3
Paralegals and legal assistants,445,83.2,77.9,12.3,5.7,20.2
"Title examiners, abstractors, and searchers",104,63.7,74.5,11.9,9.5,15.4
"Legal support workers, all other",80,62.1,80.2,12.8,6.1,18.8
"Education, training, and library occupations","9,220",73.3,80.4,11.2,5.4,11.7
Postsecondary teachers,"1,087",48.4,79.5,7.5,10.8,8.0
Preschool and kindergarten teachers,645,97.4,74.6,16.7,4.1,13.5
Elementary and middle school teachers,"3,336",79.7,82.5,11.1,3.9,11.2
Secondary school teachers,"1,000",58.7,85.8,8.6,3.7,9.8
Special education teachers,369,84.2,84.6,10.8,1.4,9.4
Tutors,168,69.0,77.2,9.7,9.2,14.8
Other teachers and instructors,805,60.8,76.5,15.0,4.6,12.5
"Archivists, curators, and museum technicians",70,63.4,87.6,6.3,0.8,10.0
Librarians and media collections specialists,168,82.2,86.0,4.3,5.1,8.0
Library technicians,38,–,–,–,–,–
Teaching assistants,"1,380",81.3,76.1,12.1,8.2,17.2
Other educational instruction and library workers,155,70.3,74.6,17.7,3.2,11.9
"Arts, design, entertainment, sports, and media occupations","3,441",48.8,82.8,8.3,5.5,12.7
Artists and related workers,324,49.2,83.9,6.1,5.7,14.5
Commercial and industrial designers,10,–,–,–,–,–
Fashion designers,22,–,–,–,–,–
Floral designers,58,90.8,90.0,5.5,1.6,21.5
Graphic designers,328,53.7,82.0,6.3,7.7,12.9
Interior designers,125,88.5,87.3,2.1,8.3,11.2
Merchandise displayers and window trimmers,29,–,–,–,–,–
Other designers,375,45.5,83.0,4.4,10.0,12.3
Actors,56,47.7,71.0,24.3,3.8,11.1
Producers and directors,185,44.2,82.9,11.6,3.2,9.3
Athletes and sports competitors,39,–,–,–,–,–
Coaches and scouts,297,46.7,85.9,8.0,3.3,13.2
"Umpires, referees, and other sports officials",32,–,–,–,–,–
Dancers and choreographers,22,–,–,–,–,–
Music directors and composers,45,–,–,–,–,–
Musicians and singers,165,25.7,78.1,13.6,6.6,8.6
"Disc jockeys, except radio",27,–,–,–,–,–
"Entertainers and performers, sports and related workers, all other",42,–,–,–,–,–
Broadcast announcers and radio disc jockeys,21,–,–,–,–,–
"News analysts, reporters, and journalists",88,48.4,79.8,13.1,3.0,8.8
Public relations specialists,120,67.0,81.4,12.2,2.4,11.9
Editors,104,66.0,91.5,2.6,3.5,3.0
Technical writers,53,65.1,87.6,0.0,9.5,9.2
Writers and authors,277,57.3,87.7,6.7,4.5,7.3
Interpreters and translators,94,76.9,69.3,10.3,15.5,35.8
Court reporters and simultaneous captioners,32,–,–,–,–,–
"Media and communication workers, all other",28,–,–,–,–,–
"Broadcast, sound, and lighting technicians",118,6.3,82.0,8.5,2.3,12.3
Photographers,210,47.8,83.3,8.4,3.7,15.8
"Television, video, and film camera operators and editors",111,17.3,75.8,8.9,6.2,18.8
"Media and communication equipment workers, all other",1,–,–,–,–,–
Healthcare practitioners and technical occupations,"9,808",75.7,74.4,12.9,9.7,9.3
Chiropractors,57,25.5,80.9,9.0,7.3,1.5
Dentists,140,36.6,76.9,7.7,14.0,7.1
Dietitians and nutritionists,141,88.0,74.9,18.1,3.1,9.6
Optometrists,42,–,–,–,–,–
Pharmacists,375,59.6,68.1,10.6,18.7,6.9
Emergency medicine physicians,21,–,–,–,–,–
Radiologists,26,–,–,–,–,–
Other physicians,933,43.8,67.0,8.4,22.4,7.2
Surgeons,48,–,–,–,–,–
Physician assistants,160,67.7,84.1,4.5,8.2,6.1
Podiatrists,13,–,–,–,–,–
Audiologists,12,–,–,–,–,–
Occupational therapists,149,85.9,86.2,5.4,8.3,6.1
Physical therapists,274,70.2,82.6,5.9,7.2,4.3
Radiation therapists,16,–,–,–,–,–
Recreational therapists,14,–,–,–,–,–
Respiratory therapists,104,60.6,79.4,12.8,6.6,12.7
Speech-language pathologists,171,97.6,93.9,4.0,0.5,2.7
Exercise physiologists,5,–,–,–,–,–
"Therapists, all other",254,79.4,80.7,14.6,2.4,14.0
Veterinarians,83,69.8,91.4,2.2,4.3,0.5
Registered nurses,"3,363",87.9,73.6,14.5,8.9,8.1
Nurse anesthetists,37,–,–,–,–,–
Nurse midwives,6,–,–,–,–,–
Nurse practitioners,263,88.7,81.9,9.9,6.2,6.7
Acupuncturists,28,–,–,–,–,–
"Healthcare diagnosing or treating practitioners, all other",15,–,–,–,–,–
Clinical laboratory technologists and technicians,333,75.2,69.0,12.0,14.9,13.5
Dental hygienists,217,96.3,91.4,2.5,5.6,12.7
Cardiovascular technologists and technicians,46,–,–,–,–,–
Diagnostic medical sonographers,93,75.0,79.9,4.8,14.7,10.9
Radiologic technologists and technicians,223,71.4,80.0,11.2,5.9,10.5
Magnetic resonance imaging technologists,52,64.6,69.7,14.2,12.1,9.3
Nuclear medicine technologists and medical dosimetrists,28,–,–,–,–,–
Emergency medical technicians,139,38.3,82.4,9.1,5.3,15.6
Paramedics,107,23.6,90.9,1.6,6.7,9.0
Pharmacy technicians,355,82.4,66.1,19.0,10.1,17.3
Psychiatric technicians,91,78.9,61.0,31.6,4.2,19.8
Surgical technologists,93,83.3,70.2,22.6,2.1,13.1
Veterinary technologists and technicians,148,88.4,92.3,1.1,2.0,11.5
Dietetic technicians and ophthalmic medical technicians,68,77.9,66.5,23.2,3.1,11.8
Licensed practical and licensed vocational nurses,588,88.9,63.3,29.1,4.9,12.3
Medical records specialists,193,88.2,74.8,14.9,5.5,10.9
"Opticians, dispensing",46,–,–,–,–,–
Miscellaneous health technologists and technicians,146,65.8,63.8,22.1,8.9,17.2
Other healthcare practitioners and technical occupations,91,66.8,77.1,8.2,6.2,11.3
,,,,,,
Service occupations,"25,438",57.0,72.3,16.8,6.1,26.3
Healthcare support occupations,"4,930",84.6,62.6,25.8,7.4,21.3
Home health aides,617,86.7,52.5,32.5,11.1,28.9
Personal care aides,"1,407",80.2,60.8,26.2,8.0,21.0
Nursing assistants,"1,236",90.0,55.4,36.0,5.6,15.3
Orderlies and psychiatric aides,59,51.8,56.7,30.0,3.7,18.6
Occupational therapy assistants and aides,25,–,–,–,–,–
Physical therapist assistants and aides,77,71.7,84.2,5.7,4.7,7.6
Massage therapists,149,80.4,71.2,8.5,12.2,11.1
Dental assistants,327,94.1,77.5,9.8,9.0,28.3
Medical assistants,541,89.2,75.7,15.7,5.6,32.9
Medical transcriptionists,38,–,–,–,–,–
Pharmacy aides,45,–,–,–,–,–
Veterinary assistants and laboratory animal caretakers,67,86.4,78.6,12.4,4.0,23.6
Phlebotomists,114,87.9,59.0,22.0,7.9,20.2
Other healthcare support workers,228,70.1,67.9,23.8,5.3,15.2
Protective service occupations,"3,057",23.2,71.7,20.9,2.9,14.7
First-line supervisors of correctional officers,47,–,–,–,–,–
First-line supervisors of police and detectives,91,15.7,88.0,4.9,0.4,18.6
First-line supervisors of firefighting and prevention workers,63,9.4,92.0,8.0,0.0,9.7
First-line supervisors of security workers,74,21.1,69.2,24.5,2.1,11.7
"First-line supervisors of protective service workers, all other",3,–,–,–,–,–
Firefighters,307,6.2,85.5,9.9,1.5,15.2
Fire inspectors,35,–,–,–,–,–
Bailiffs,23,–,–,–,–,–
Correctional officers and jailers,285,29.9,63.7,27.3,4.2,12.8
Detectives and criminal investigators,142,27.6,80.2,12.4,3.2,10.5
Fish and game wardens,8,–,–,–,–,–
Parking enforcement workers,7,–,–,–,–,–
Police officers,746,12.7,78.3,16.7,2.5,13.1
Animal control workers,9,–,–,–,–,–
Private detectives and investigators,105,38.5,83.4,11.0,2.1,13.9
Security guards and gambling surveillance officers,835,24.3,54.9,34.5,4.5,16.6
Crossing guards and flaggers,48,–,–,–,–,–
Transportation security screeners,37,–,–,–,–,–
School bus monitors,45,–,–,–,–,–
Other protective service workers,147,48.9,89.6,2.0,0.4,16.6
Food preparation and serving related occupations,"7,907",53.3,73.2,13.9,6.7,28.1
Chefs and head cooks,465,26.9,63.3,15.8,15.7,22.7
First-line supervisors of food preparation and serving workers,491,54.5,74.3,18.0,4.2,22.9
Cooks,"2,012",38.4,69.4,17.7,5.9,36.1
Food preparation workers,932,55.1,72.1,15.2,5.9,30.3
Bartenders,457,59.0,82.0,7.7,2.0,21.1
Fast food and counter workers,784,64.2,70.7,12.7,7.7,21.4
Waiters and waitresses,"1,762",68.2,77.9,9.7,8.3,24.5
"Food servers, nonrestaurant",200,71.9,69.9,21.9,6.8,23.5
Dining room and cafeteria attendants and bartender helpers,269,45.4,76.0,10.0,4.7,35.0
Dishwashers,235,20.2,70.9,18.9,3.3,32.8
"Hosts and hostesses, restaurant, lounge, and coffee shop",293,84.0,81.8,7.2,5.2,27.4
"Food preparation and serving related workers, all other",9,–,–,–,–,–
Building and grounds cleaning and maintenance occupations,"5,576",42.0,78.7,14.0,3.1,40.4
First-line supervisors of housekeeping and janitorial workers,314,42.5,76.8,18.6,2.4,28.4
"First-line supervisors of landscaping, lawn service, and groundskeeping workers",281,8.2,83.4,11.9,1.1,29.1
Janitors and building cleaners,"2,183",40.2,75.4,17.4,3.2,34.6
Maids and housekeeping cleaners,"1,364",88.1,75.6,15.7,4.3,51.0
Pest control workers,100,6.0,87.3,7.7,3.6,23.5
Landscaping and groundskeeping workers,"1,213",7.2,85.2,7.1,2.3,46.5
Tree trimmers and pruners,104,7.2,96.0,1.7,0.0,35.6
Other grounds maintenance workers,18,–,–,–,–,–
Personal care and service occupations,"3,968",77.1,73.8,12.2,9.9,18.3
Supervisors of personal care and service workers,232,77.8,68.7,13.8,14.2,12.0
Animal trainers,66,67.6,93.5,0.0,2.0,5.4
Animal caretakers,305,76.9,88.1,3.6,3.3,12.8
Gambling services workers,74,41.5,66.1,8.3,20.6,7.8
"Ushers, lobby attendants, and ticket takers",39,–,–,–,–,–
Other entertainment attendants and related workers,237,46.2,79.5,10.3,4.5,19.5
"Embalmers, crematory operators, and funeral attendants",28,–,–,–,–,–
"Morticians, undertakers, and funeral arrangers",36,–,–,–,–,–
Barbers,123,24.8,58.4,27.1,9.8,40.4
"Hairdressers, hairstylists, and cosmetologists",720,93.1,78.6,13.7,6.0,18.8
Manicurists and pedicurists,295,85.1,24.5,7.6,65.4,15.2
Skincare specialists,96,98.7,78.8,4.4,7.5,21.5
Other personal appearance workers,30,–,–,–,–,–
"Baggage porters, bellhops, and concierges",78,35.7,71.7,20.0,6.9,16.1
Tour and travel guides,58,47.9,84.9,6.3,4.1,5.9
Childcare workers,"1,007",94.3,77.6,13.5,3.7,23.9
Exercise trainers and group fitness instructors,234,62.9,81.8,11.1,3.5,12.8
Recreation workers,158,61.2,79.5,15.1,1.8,11.8
Residential advisors,28,–,–,–,–,–
"Personal care and service workers, all other",122,64.7,85.1,7.6,4.0,19.9
,,,,,,
Sales and office occupations,"30,412",61.3,77.7,13.1,5.4,17.8
Sales and related occupations,"14,316",49.4,79.6,11.0,5.7,17.4
First-line supervisors of retail sales workers,"3,081",45.2,78.5,10.8,6.7,15.9
First-line supervisors of non-retail sales workers,"1,203",35.2,82.5,7.7,6.5,15.5
Cashiers,"2,712",71.8,71.9,16.2,6.6,24.4
Counter and rental clerks,83,40.8,88.1,8.0,1.6,23.8
Parts salespersons,108,16.9,93.9,3.0,0.5,19.7
Retail salespersons,"2,582",49.4,79.6,12.1,4.6,18.8
Advertising sales agents,130,52.1,85.6,7.8,5.4,9.9
Insurance sales agents,614,49.2,78.2,13.5,4.3,16.8
"Securities, commodities, and financial services sales agents",226,30.3,83.8,6.5,9.1,9.3
Travel agents,71,81.9,78.1,14.7,6.7,6.9
"Sales representatives of services, except advertising, insurance, financial services, and travel",615,29.0,86.3,6.2,4.5,10.8
"Sales representatives, wholesale and manufacturing","1,155",28.7,87.5,6.3,4.3,13.5
"Models, demonstrators, and product promoters",23,–,–,–,–,–
Real estate brokers and sales agents,"1,182",56.9,82.4,8.4,5.7,13.5
Sales engineers,51,8.1,85.2,0.2,13.1,5.4
Telemarketers,39,–,–,–,–,–
"Door-to-door sales workers, news and street vendors, and related workers",73,57.4,87.0,5.9,2.0,26.0
"Sales and related workers, all other",369,59.2,81.5,10.2,4.8,18.7
Office and administrative support occupations,"16,096",71.9,76.0,15.0,5.1,18.2
First-line supervisors of office and administrative support workers,"1,199",67.9,80.5,12.3,3.9,15.5
"Switchboard operators, including answering service",16,–,–,–,–,–
Telephone operators,26,–,–,–,–,–
"Communications equipment operators, all other",5,–,–,–,–,–
Bill and account collectors,103,68.8,75.0,20.6,3.6,9.3
Billing and posting clerks,463,87.6,77.0,14.8,4.4,17.3
"Bookkeeping, accounting, and auditing clerks","1,132",85.0,82.5,8.7,5.7,14.9
Gambling cage workers,23,–,–,–,–,–
Payroll and timekeeping clerks,126,92.4,80.0,11.2,5.0,24.6
Procurement clerks,30,–,–,–,–,–
Tellers,218,83.1,79.8,9.4,6.2,21.3
"Financial clerks, all other",128,52.0,76.8,13.2,7.0,14.8
Brokerage clerks,8,–,–,–,–,–
Correspondence clerks,3,–,–,–,–,–
"Court, municipal, and license clerks",84,83.8,71.3,24.8,0.4,13.7
"Credit authorizers, checkers, and clerks",45,–,–,–,–,–
Customer service representatives,"2,714",64.8,73.0,17.6,5.5,19.7
"Eligibility interviewers, government programs",80,75.0,61.1,24.6,6.2,22.6
File Clerks,127,78.6,73.9,15.0,4.1,17.4
"Hotel, motel, and resort desk clerks",132,66.5,64.8,15.3,8.8,24.5
"Interviewers, except eligibility and loan",171,78.0,70.4,18.7,4.0,19.3
"Library assistants, clerical",76,78.5,77.0,7.9,14.5,8.6
Loan interviewers and clerks,169,68.8,83.6,11.9,2.7,15.6
New accounts clerks,14,–,–,–,–,–
Order clerks,124,54.2,68.5,14.5,12.7,18.0
"Human resources assistants, except payroll and timekeeping",89,89.1,70.6,17.9,7.2,7.0
Receptionists and information clerks,"1,171",90.3,76.8,15.5,3.9,21.6
Reservation and transportation ticket agents and travel clerks,112,43.1,66.9,20.4,8.4,21.5
"Information and record clerks, all other",93,74.5,72.4,17.1,7.6,18.0
Cargo and freight agents,29,–,–,–,–,–
Couriers and messengers,936,26.5,69.8,21.6,4.4,23.6
Public safety telecommunicators,82,82.5,72.3,18.4,3.1,11.1
"Dispatchers, except police, fire, and ambulance",181,58.9,78.0,17.8,2.0,22.7
"Meter readers, utilities",16,–,–,–,–,–
Postal service clerks,107,56.1,51.7,40.4,5.3,11.6
Postal service mail carriers,280,41.5,69.0,22.4,6.5,11.6
