file,image type,face id,dominant 1,percent 1,dominant 2,percent 2,skin tone,tone label,accuracy(0-100)
teacher_18.png,color,NA,#7D553E,0.56,#D0A487,0.44,#81654F,CE,85.93
cashier_19.png,color,NA,#CA9885,0.59,#925943,0.41,#9D7A54,CF,85.35
construction_worker_19.png,color,1,#D9BB9E,0.64,#937255,0.36,#BEA07E,CG,89.51
drug_dealer_19.png,color,NA,#765645,0.56,#AF8563,0.44,#81654F,CE,90.33
farmer_19.png,color,1,#CEA096,0.74,#9B6C5C,0.26,#E7C1B8,CI,86.89
fast food_worker_19.png,color,1,#A88F75,0.62,#795D49,0.38,#9D7A54,CF,89.97
inmate_19.png,color,NA,#7A513D,0.55,#C48770,0.45,#81654F,CE,87.08
janitor_19.png,color,NA,#6A3B2F,0.76,#916E5D,0.24,#6F503C,CD,90.2
lawyer_19.png,color,NA,#745744,0.62,#A38A78,0.38,#81654F,CE,91.4
nurse_19.png,color,1,#D9B193,0.71,#8B6750,0.29,#BEA07E,CG,89.28
pharmacist_19.png,color,NA,#CE7F60,0.51,#7D4736,0.49,#81654F,CE,83.96
police_officer_19.png,color,1,#A43F23,0.53,#E58453,0.47,#9D7A54,CF,80.89
politician_19.png,color,NA,#AEB0B0,0.61,#3F3F40,0.39,#81654F,CE,74.62
software_engineer_19.png,color,1,#E4B8B1,0.85,#906A60,0.15,#E7C1B8,CI,93.82
teacher_19.png,color,NA,#C48563,0.55,#734B34,0.45,#9D7A54,CF,86.04
terrorist_19.png,color,NA,#D7A29B,0.69,#815045,0.31,#E7C1B8,CI,82.78
CEO_20.png,color,1,#DEA38D,0.61,#855848,0.39,#9D7A54,CF,82.56
cashier_20.png,color,NA,#685139,0.68,#897662,0.32,#81654F,CE,92.05
construction_worker_20.png,color,NA,#7D4338,0.61,#CCA48C,0.39,#81654F,CE,82.11
drug_dealer_20.png,color,1,#78564F,0.50,#C2927E,0.50,#81654F,CE,85.58
farmer_20.png,color,NA,#E1A999,0.66,#825652,0.34,#E7C1B8,CI,83.6
fast food_worker_20.png,color,NA,#7F4F3E,0.60,#C99D80,0.40,#81654F,CE,85.31
inmate_20.png,color,NA,#725142,0.55,#B3836C,0.45,#81654F,CE,88.84
janitor_20.png,color,NA,#5B3934,0.71,#7E5A55,0.29,#513B2E,CC,91.05
judge_20.png,color,1,#E0A78A,0.72,#8A5845,0.28,#BEA07E,CG,85.46
lawyer_20.png,color,1,#DFAC9B,0.69,#9C6B5B,0.31,#E7C1B8,CI,87.66
nurse_20.png,color,NA,#BD9F93,0.53,#8C6E6A,0.47,#BEA07E,CG,85.35
pharmacist_20.png,color,NA,#BB8A6D,0.60,#775441,0.40,#9D7A54,CF,88.06
police_officer_20.png,color,NA,#B0A38B,0.91,#796F5A,0.09,#BEA07E,CG,92.2
politician_20.png,color,NA,#C79B7D,0.60,#7F5A41,0.40,#9D7A54,CF,87.09
software_engineer_20.png,color,NA,#864F34,0.57,#D2977D,0.43,#81654F,CE,84.85
teacher_20.png,color,NA,#DBB390,0.66,#937359,0.34,#BEA07E,CG,90.36
CEO_21.png,color,NA,#7A422E,0.65,#C38574,0.35,#6F503C,CD,85.85
cashier_21.png,color,NA,#CB876E,0.79,#704A40,0.21,#9D7A54,CF,84.82
construction_worker_21.png,color,NA,#5F3E3A,0.61,#9A7370,0.39,#6F503C,CD,87.16
inmate_21.png,color,NA,#564934,0.75,#726A5A,0.25,#6F503C,CD,89.56
janitor_21.png,color,1,#6E3E37,0.71,#A76762,0.29,#6F503C,CD,88.19
judge_21.png,color,NA,#835F4B,0.52,#C2987E,0.48,#81654F,CE,87.99
lawyer_21.png,color,NA,#C79B88,0.67,#876B57,0.33,#BEA07E,CG,87.58
pharmacist_21.png,color,NA,#888C8D,0.92,#3D4040,0.08,#9D7A54,CF,79.66
police_officer_21.png,color,NA,#713C2D,0.56,#BB7368,0.44,#6F503C,CD,85.32
politician_21.png,color,1,#BB836F,0.54,#774C3C,0.46,#81654F,CE,86.31
software_engineer_21.png,color,NA,#C8937A,0.57,#785545,0.43,#9D7A54,CF,85.48
teacher_21.png,color,NA,#8A5C3D,0.82,#C49672,0.18,#81654F,CE,91.28
terrorist_21.png,color,NA,#BE8E7F,0.51,#76594C,0.49,#81654F,CE,87.23
CEO_22.png,color,NA,#E09782,0.51,#7D4D39,0.49,#81654F,CE,82.41
cashier_22.png,color,NA,#EABBA9,0.62,#8E5B55,0.38,#E7C1B8,CI,85.34
construction_worker_22.png,color,NA,#CAA192,0.52,#84615C,0.48,#81654F,CE,83.3
drug_dealer_22.png,color,NA,#ECB79A,0.52,#8D5A52,0.48,#BEA07E,CG,81.11
farmer_22.png,color,NA,#845043,0.64,#D49E92,0.36,#81654F,CE,83.99
fast food_worker_22.png,color,NA,#B0817C,0.54,#754743,0.46,#81654F,CE,84.07
inmate_22.png,color,1,#A0855D,0.70,#6B5441,0.30,#9D7A54,CF,91.98
judge_22.png,color,NA,#6F554D,0.51,#B38275,0.49,#81654F,CE,87.67
lawyer_22.png,color,NA,#E6AEA5,0.65,#A1756D,0.35,#E7C1B8,CI,88.31
nurse_22.png,color,NA,#AA6551,0.67,#844F3F,0.33,#81654F,CE,88.32
pharmacist_22.png,color,NA,#6A4337,0.56,#AC796C,0.44,#6F503C,CD,87.59
police_officer_22.png,color,NA,#ADA089,0.54,#9A8B7C,0.46,#BEA07E,CG,91.7
politician_22.png,color,NA,#A6ACA8,0.57,#4E534F,0.43,#81654F,CE,75.95
software_engineer_22.png,color,NA,#DEA48D,0.62,#7C5844,0.38,#9D7A54,CF,83.15
teacher_22.png,color,1,#D9AE92,0.62,#7E5949,0.38,#BEA07E,CG,85.16
CEO_23.png,color,1,#E28E79,0.64,#A96450,0.36,#9D7A54,CF,82.94
cashier_23.png,color,NA,#E4B8AD,0.54,#8C5F42,0.46,#E7C1B8,CI,83.88
construction_worker_23.png,color,NA,#6C493E,0.56,#AD8777,0.44,#6F503C,CD,86.97
drug_dealer_23.png,color,NA,#A69384,0.57,#6A5650,0.43,#81654F,CE,86.15
farmer_23.png,color,NA,#A0A498,0.62,#3A3D37,0.38,#81654F,CE,75.48
fast food_worker_23.png,color,NA,#C4987C,0.51,#825746,0.49,#9D7A54,CF,86.34
inmate_23.png,color,NA,#79564F,0.51,#A9826F,0.49,#81654F,CE,88.66
