file,image type,face id,dominant 1,percent 1,dominant 2,percent 2,skin tone,tone label,accuracy(0-100)
farmer_62.png,color,1,#DBA9A1,0.56,#674033,0.44,#81654F,CE,78.52
fast food_worker_62.png,color,NA,#824F3A,0.54,#DAAC85,0.46,#9D7A54,CF,83.06
inmate_62.png,color,1,#845B48,0.64,#D98976,0.36,#81654F,CE,88.02
janitor_62.png,color,NA,#808176,0.73,#383A33,0.27,#81654F,CE,81.86
judge_62.png,color,1,#D09780,0.62,#7C5C4D,0.38,#9D7A54,CF,85.11
lawyer_62.png,color,NA,#683D2E,0.57,#B07261,0.43,#6F503C,CD,87.73
nurse_62.png,color,1,#BA927B,0.72,#7B4D43,0.28,#9D7A54,CF,86.53
pharmacist_62.png,color,NA,#875A4B,0.52,#B0917B,0.48,#81654F,CE,87.85
police_officer_62.png,color,1,#A68668,0.56,#785540,0.44,#9D7A54,CF,90.58
politician_62.png,color,NA,#796149,0.77,#C0927D,0.23,#81654F,CE,93.39
software_engineer_62.png,color,1,#B3917F,0.58,#6E5548,0.42,#81654F,CE,86.91
teacher_62.png,color,NA,#D3B0A3,0.58,#907362,0.42,#BEA07E,CG,86.87
terrorist_62.png,color,NA,#8D5D42,0.51,#B09284,0.49,#81654F,CE,88.0
CEO_63.png,color,1,#D6AA9C,0.54,#8C6B5A,0.46,#9D7A54,CF,84.81
cashier_63.png,color,NA,#BC9E81,0.57,#654233,0.43,#9D7A54,CF,83.52
construction_worker_63.png,color,NA,#6A4C3F,0.55,#AC8C7B,0.45,#81654F,CE,87.62
drug_dealer_63.png,color,NA,#704033,0.58,#C08C6F,0.42,#6F503C,CD,84.23
farmer_63.png,color,NA,#65422A,0.70,#B07F62,0.30,#6F503C,CD,90.39
fast food_worker_63.png,color,1,#68321A,0.60,#BC6E4F,0.40,#6F503C,CD,85.77
inmate_63.png,color,1,#605244,0.53,#8E7869,0.47,#81654F,CE,91.13
janitor_63.png,color,1,#7C503B,0.60,#AE816A,0.40,#81654F,CE,89.32
judge_63.png,color,NA,#7F5E44,0.64,#987C69,0.36,#81654F,CE,94.73
lawyer_63.png,color,NA,#796153,0.86,#EBAA94,0.14,#81654F,CE,92.86
nurse_63.png,color,1,#8C7666,0.76,#5F4941,0.24,#81654F,CE,91.92
pharmacist_63.png,color,1,#875433,0.52,#E4BA8D,0.48,#9D7A54,CF,83.17
police_officer_63.png,color,1,#A98982,0.53,#7E655E,0.47,#81654F,CE,88.03
politician_63.png,color,NA,#AD967F,0.60,#775849,0.40,#9D7A54,CF,87.42
software_engineer_63.png,color,1,#C98261,0.54,#6E4737,0.46,#81654F,CE,84.76
teacher_63.png,color,1,#7A594A,0.63,#BF9980,0.37,#81654F,CE,89.09
terrorist_63.png,color,1,#734C31,0.55,#CA9D79,0.45,#81654F,CE,85.17
CEO_64.png,color,NA,#705F55,0.59,#9E8578,0.41,#81654F,CE,90.88
cashier_64.png,color,1,#D5AD94,0.83,#805E55,0.17,#BEA07E,CG,89.66
construction_worker_64.png,color,NA,#B59F8A,0.72,#5E473E,0.28,#BEA07E,CG,86.51
drug_dealer_64.png,color,1,#A58A7E,0.61,#6B534E,0.39,#81654F,CE,86.75
farmer_64.png,color,NA,#E9BCA3,0.50,#704A46,0.50,#81654F,CE,78.51
fast food_worker_64.png,color,NA,#954238,0.54,#BFA47E,0.46,#9D7A54,CF,81.54
inmate_64.png,color,1,#6B3F26,0.53,#9F8570,0.47,#81654F,CE,87.11
janitor_64.png,color,1,#B89580,0.66,#5C4033,0.34,#9D7A54,CF,84.7
judge_64.png,color,1,#6B5541,0.63,#B08A6D,0.37,#81654F,CE,90.11
lawyer_64.png,color,NA,#EBD1BC,0.58,#8D7066,0.42,#E5C8A6,CH,84.99
nurse_64.png,color,NA,#78583C,0.56,#AD9066,0.44,#81654F,CE,89.54
pharmacist_64.png,color,1,#986649,0.56,#66422C,0.44,#6F503C,CD,91.59
police_officer_64.png,color,NA,#5C352F,0.95,#BDAA97,0.05,#513B2E,CC,89.8
politician_64.png,color,1,#643D30,0.64,#A97868,0.36,#6F503C,CD,88.64
software_engineer_64.png,color,1,#A48672,0.62,#634A3E,0.38,#81654F,CE,87.8
teacher_64.png,color,NA,#CB7A5D,0.51,#744937,0.49,#81654F,CE,85.14
terrorist_64.png,color,1,#D0AF98,0.66,#7D6456,0.34,#BEA07E,CG,87.71
CEO_65.png,color,NA,#775241,0.94,#DCB7AB,0.06,#6F503C,CD,94.92
cashier_65.png,color,1,#9E8A70,0.58,#786654,0.42,#9D7A54,CF,90.58
construction_worker_65.png,color,NA,#6F584F,0.60,#A69680,0.40,#81654F,CE,88.27
drug_dealer_65.png,color,1,#7C6350,0.58,#B3957B,0.42,#81654F,CE,91.55
farmer_65.png,color,1,#593F36,0.57,#94766A,0.43,#6F503C,CD,89.19
fast food_worker_65.png,color,1,#C4A890,0.54,#73402F,0.46,#9D7A54,CF,81.53
inmate_65.png,color,1,#685D4B,0.81,#BCAC8F,0.19,#81654F,CE,88.04
janitor_65.png,color,1,#D28E6C,0.56,#965A47,0.44,#9D7A54,CF,85.84
judge_65.png,color,1,#82624F,0.51,#CCA68C,0.49,#81654F,CE,87.2
lawyer_65.png,color,1,#D2A38F,0.66,#97715B,0.34,#BEA07E,CG,88.26
nurse_65.png,color,NA,#9D8A78,0.83,#593E31,0.17,#9D7A54,CF,88.53
pharmacist_65.png,color,1,#937861,0.68,#635343,0.32,#81654F,CE,91.98
police_officer_65.png,color,1,#F09665,0.60,#955C3E,0.40,#9D7A54,CF,84.04
politician_65.png,color,NA,#AB8672,0.53,#715240,0.47,#81654F,CE,89.31
software_engineer_65.png,color,1,#D79B8A,0.60,#89543E,0.40,#9D7A54,CF,82.98
teacher_65.png,color,1,#B79A88,0.70,#745943,0.30,#BEA07E,CG,87.65
terrorist_65.png,color,NA,#DFB59E,0.60,#754B3F,0.40,#BEA07E,CG,80.84
CEO_66.png,color,NA,#743D30,0.79,#D8A39A,0.21,#6F503C,CD,85.35
cashier_66.png,color,NA,#C68F64,0.58,#724833,0.42,#9D7A54,CF,85.81
construction_worker_66.png,color,1,#684941,0.52,#C29785,0.48,#81654F,CE,83.77
drug_dealer_66.png,color,1,#BC8F88,0.56,#7E5950,0.44,#81654F,CE,84.85
farmer_66.png,color,NA,#68442F,0.56,#A88473,0.44,#6F503C,CD,88.28
fast food_worker_66.png,color,1,#B68973,0.58,#65473E,0.42,#81654F,CE,85.33
inmate_66.png,color,1,#58483A,0.60,#7D7264,0.40,#6F503C,CD,89.97
janitor_66.png,color,NA,#5B4134,0.72,#8D725D,0.28,#513B2E,CC,92.32
judge_66.png,color,1,#B8937F,0.61,#91654C,0.39,#9D7A54,CF,89.13
lawyer_66.png,color,1,#97614F,0.55,#613F31,0.45,#6F503C,CD,90.89
nurse_66.png,color,NA,#7F7367,0.54,#574A3F,0.46,#81654F,CE,89.91
pharmacist_66.png,color,1,#E1B49E,0.69,#8C5D48,0.31,#E7C1B8,CI,85.83
police_officer_66.png,color,NA,#AE948B,0.90,#6F6360,0.10,#BEA07E,CG,87.75
politician_66.png,color,1,#6F5E4E,0.72,#AF9C7E,0.28,#81654F,CE,90.03
software_engineer_66.png,color,1,#887666,0.67,#624D3C,0.33,#81654F,CE,92.05
teacher_66.png,color,1,#C29C8A,0.58,#7F6554,0.42,#9D7A54,CF,86.93
terrorist_66.png,color,1,#BF9A8F,0.58,#725751,0.42,#81654F,CE,83.8
CEO_67.png,color,NA,#7E5448,0.55,#DBA595,0.45,#81654F,CE,83.5
cashier_67.png,color,1,#B9957F,0.57,#7F5A3F,0.43,#9D7A54,CF,88.13
construction_worker_67.png,color,1,#6A433A,0.54,#BA9081,0.46,#81654F,CE,84.01
drug_dealer_67.png,color,1,#674E43,0.55,#BB9181,0.45,#81654F,CE,86.35
farmer_67.png,color,NA,#584D45,0.61,#766A61,0.39,#6F503C,CD,89.76
fast food_worker_67.png,color,NA,#69463D,0.65,#BD9171,0.35,#6F503C,CD,86.39
inmate_67.png,color,1,#624F46,0.65,#8F786E,0.35,#6F503C,CD,90.83
janitor_67.png,color,NA,#675345,0.71,#A18775,0.29,#6F503C,CD,90.48
judge_67.png,color,1,#613E36,0.55,#9F675C,0.45,#6F503C,CD,88.87
lawyer_67.png,color,NA,#9A9E9F,0.68,#3F4141,0.32,#81654F,CE,76.55
nurse_67.png,color,1,#A48C6D,0.56,#615141,0.44,#9D7A54,CF,87.87
pharmacist_67.png,color,NA,#6D5B4D,0.74,#C4A690,0.26,#81654F,CE,89.53
police_officer_67.png,color,NA,#89604C,0.64,#BA846C,0.36,#81654F,CE,90.66
politician_67.png,color,1,#7C402C,0.66,#7E6E57,0.34,#6F503C,CD,90.12
software_engineer_67.png,color,NA,#ACACAC,0.53,#4D4D4D,0.47,#81654F,CE,77.36
